Opened,Open,High,Low,Close,Volume
2021-09-27 17:05:00,61.399,61.686,61.204,61.436,57883.6
2021-09-27 17:10:00,61.446,61.665,61.114,61.538,39104.8
2021-09-27 17:15:00,61.529,61.657,61.306,61.308,41257.8
2021-09-27 17:20:00,61.323,61.381,61.003,61.089,32105.4
2021-09-27 17:25:00,61.092,61.221,60.684,60.826,37842.2
2021-09-27 17:30:00,60.823,61.299,60.650,61.136,48738.1
2021-09-27 17:35:00,61.151,61.425,60.865,61.352,44736.4
2021-09-27 17:40:00,61.366,61.439,61.120,61.230,20298.7
2021-09-27 17:45:00,61.219,61.330,60.910,61.047,42883.5
2021-09-27 17:50:00,61.037,61.064,60.858,60.892,33163.0
2021-09-27 17:55:00,60.893,61.253,60.870,61.145,19286.9
2021-09-27 18:00:00,61.136,61.300,60.931,61.070,32294.8
2021-09-27 18:05:00,61.070,61.344,61.006,61.203,18814.3
2021-09-27 18:10:00,61.207,61.441,61.092,61.377,21746.5
2021-09-27 18:15:00,61.370,61.409,61.122,61.262,24490.3
2021-09-27 18:20:00,61.281,61.302,60.973,61.090,24869.4
2021-09-27 18:25:00,61.077,61.120,60.875,60.960,17791.0
2021-09-27 18:30:00,60.966,61.000,60.630,60.669,20074.8
2021-09-27 18:35:00,60.664,60.919,60.551,60.730,25583.7
2021-09-27 18:40:00,60.726,60.986,60.632,60.671,21378.0
2021-09-27 18:45:00,60.675,60.814,60.501,60.778,18492.6
2021-09-27 18:50:00,60.776,60.805,60.540,60.587,14983.8
2021-09-27 18:55:00,60.579,60.754,60.404,60.701,24397.2
2021-09-27 19:00:00,60.708,60.708,60.360,60.381,18978.0
2021-09-27 19:05:00,60.387,60.767,60.292,60.681,19124.4
2021-09-27 19:10:00,60.680,60.854,60.595,60.778,17673.8
2021-09-27 19:15:00,60.769,60.890,60.545,60.780,13062.6
2021-09-27 19:20:00,60.781,60.876,60.663,60.722,14558.1
2021-09-27 19:25:00,60.726,61.112,60.684,61.056,18171.3
2021-09-27 19:30:00,61.056,61.083,60.852,60.923,15386.9
2021-09-27 19:35:00,60.917,60.930,60.651,60.736,24713.1
2021-09-27 19:40:00,60.742,60.975,60.637,60.920,9653.6
2021-09-27 19:45:00,60.920,60.933,60.657,60.763,10237.8
